X,Y,OBJECTID,TYPE,PARK_NAME,REC_AREA,OWNERSHIP,CLASSIFICATION,LONGITUDE,LATITUDE
587187.058699999936,4788085.620699999854,183,Baseball,,Hamilton Mountain,School,,-79.92613539916792,43.240530442389804
587280.696700000204146,4788068.754,184,Baseball,,Hamilton Mountain,School,,-79.92498494891207,43.24036775763754
587204.227099999785423,4788010.980299999937,185,Baseball,,Hamilton Mountain,School,,-79.92593578085948,43.23985646025084
587445.679999999701977,4787923.635299999267,186,Soccer,,Hamilton Mountain,City,,-79.92297625641676,43.23904212443029
586889.062599999830127,4787770.669399999082,187,Baseball,,Hamilton Mountain,City,,-79.92985475611215,43.237729284895465
586910.163399999961,4787716.5851,188,Baseball,,Hamilton Mountain,City,,-79.92960344221298,43.23723992495574
586915.9972,4787576.0186,189,Soccer,,Hamilton Mountain,City,,-79.92955376021827,43.23597371207167
586986.102300000376999,4787586.0467,190,Soccer,,Hamilton Mountain,City,,-79.92868892053225,43.23605591476295
587652.876500000245869,4786949.084599999711,191,Soccer,,Hamilton Mountain,School,,-79.92057965497573,43.23024407600207
587571.208700000308454,4786988.754499999806,192,Basketball,,Hamilton Mountain,School,,-79.92157889850584,43.230610713976354
587589.853400000371039,4786990.11099999957,193,Tennis,,Hamilton Mountain,School,,-79.92134911750384,43.2306207622566
598156.618800000287592,4786949.854,194,Baseball,,Lower Hamilton,City,,-79.79125562551174,43.228957513292286
598153.2171,4786883.5205,195,Baseball,,Lower Hamilton,City,,-79.7913093083453,43.22836077386694
598491.262799999676645,4787614.4646,196,Baseball,,Lower Hamilton,City,,-79.78701690346696,43.23489719235498
598546.540699999779463,4787613.61409999989,197,Baseball,,Lower Hamilton,City,,-79.78633642223954,43.23488231634593
598582.25870000012219,4787898.50799999945,198,Baseball,,Lower Hamilton,City,,-79.78584570075182,43.23744246062321
598580.557799999602139,4787794.7556,199,Baseball,,Lower Hamilton,City,,-79.78588519151991,43.23650863228651
604261.638799999840558,4785391.229499999434,200,Basketball,,Lower Stoney Creek,City,,-79.71638809863123,43.21410706597459
602875.651499999687076,4785459.901699999347,201,Tennis,,Lower Stoney Creek,City,,-79.73343469966827,43.214915454720725
602889.4709,4785456.5,202,Tennis,,Lower Stoney Creek,City,,-79.73326523433185,43.214882947012455
596976.860600000247359,4785833.6654,203,Baseball,,Lower Hamilton,City,,-79.80597674092148,43.219061284332966
596967.080699999816716,4785794.1205,204,Baseball,,Lower Hamilton,City,,-79.80610407747768,43.218706526062995
597081.8887,4785963.781099999323,205,Baseball,,Lower Hamilton,City,,-79.80466097751523,43.22021918446056
597112.9293,4787825.158399999142,206,Baseball,,Lower Hamilton,City,,-79.80395120892297,43.23697273235502
597083.589499999769032,4787723.532099999487,207,Baseball,,Lower Hamilton,City,,-79.80433037371085,43.23606159290878
597217.1069,4787868.5303,208,Basketball,,Lower Hamilton,City,,-79.80266077958301,43.237349777898466
597213.28000000026077,4787853.6478,209,Basketball,,Lower Hamilton,City,,-79.8027105261389,43.23721628766553
597471.8437,4789048.79639999941,210,Baseball,,Lower Hamilton,City,,-79.79931540290278,43.247942512972685
598055.343000000342727,4788896.7663,211,Baseball,,Lower Hamilton,City,,-79.79215630886648,43.24649817165956
598103.002399999648333,4788950.0994,212,Baseball,,Lower Hamilton,City,,-79.7915598770122,43.24697211384693
598200.023299999535084,4788983.5744,213,Baseball,,Lower Hamilton,City,,-79.79035906357612,43.24726084927729
598147.257500000298023,4788835.4899,214,Baseball,,Lower Hamilton,City,,-79.7910352660403,43.245934560650895
599181.5795,4789313.218499999493,215,Baseball,,Lower Hamilton,City,,-79.77821148311057,43.25010003828904
599299.025799999945,4789283.1477,216,Baseball,,Lower Hamilton,City,,-79.77677043829203,43.24981386159597
599167.395100000314415,4789246.5521,217,Soccer,,Lower Hamilton,City,,-79.77839817327916,43.24950173034745
599916.328200000338256,4789869.811899999157,218,Baseball,,Lower Hamilton,City,,-79.76906144421582,43.255013811986444
599986.682500000111759,4789680.3091,219,Baseball,,Lower Hamilton,City,,-79.76822928694868,43.253298464541274
